filename,width,height,class,xmin,ymin,xmax,ymax
image178_png.rf.fb3de97e6e4091954ef5c813b3dd119f.jpg,1920,1200,Karo 9,682,393,786,534
image178_png.rf.fb3de97e6e4091954ef5c813b3dd119f.jpg,1920,1200,Herz Ass,907,393,1007,532
image178_png.rf.fb3de97e6e4091954ef5c813b3dd119f.jpg,1920,1200,Kreuz 5,797,391,898,534

screenshot_card_5_1715787645_png_jpg.rf.fdeb3353fc38c216dfb76ff62c1d0021.jpg,160,220,Kreuz 9,0,4,133,209
screenshot_card_3_1715788632_png_jpg.rf.ff6c8c4da6ccf0deb48f91c9b9e714d8.jpg,165,220,Piek 4,2,3,149,208
image193_png.rf.fb72f03424c2b4b5f855954c3e6e5e41.jpg,1920,1200,Kreuz 8,794,395,893,534
image193_png.rf.fb72f03424c2b4b5f855954c3e6e5e41.jpg,1920,1200,Kreuz 9,685,392,785,531
image193_png.rf.fb72f03424c2b4b5f855954c3e6e5e41.jpg,1920,1200,Kreuz 7,915,396,1012,533
image193_png.rf.fb72f03424c2b4b5f855954c3e6e5e41.jpg,1920,1200,Karo 6,1020,395,1120,535

image148_png_jpg.rf.305d26d965da9cec298074f302a486d5.jpg,1920,1200,Piek 3,686,396,784,537
image148_png_jpg.rf.305d26d965da9cec298074f302a486d5.jpg,1920,1200,Piek Ass,796,394,893,537
image148_png_jpg.rf.305d26d965da9cec298074f302a486d5.jpg,1920,1200,Herz Bube,913,389,1006,538
image148_png_jpg.rf.305d26d965da9cec298074f302a486d5.jpg,1920,1200,Karo 10,1020,392,1117,536
image148_png_jpg.rf.305d26d965da9cec298074f302a486d5.jpg,1920,1200,Piek Dame,1133,393,1234,539
image50_png_jpg.rf.34d668570dbeaf803ecc259e12afe7c8.jpg,1920,1200,Kreuz 10,687,393,786,536
image50_png_jpg.rf.34d668570dbeaf803ecc259e12afe7c8.jpg,1920,1200,Piek 9,910,394,1009,537
image50_png_jpg.rf.34d668570dbeaf803ecc259e12afe7c8.jpg,1920,1200,Piek 5,1135,394,1233,537
image50_png_jpg.rf.34d668570dbeaf803ecc259e12afe7c8.jpg,1920,1200,Herz 3,1023,394,1122,534
image50_png_jpg.rf.34d668570dbeaf803ecc259e12afe7c8.jpg,1920,1200,Kreuz 8,794,394,897,538
image147_png.rf.3888450809588f35cd1bba212b6fcfa7.jpg,1920,1200,Kreuz Konig,796,392,897,533
image147_png.rf.3888450809588f35cd1bba212b6fcfa7.jpg,1920,1200,Karo 10,684,393,787,536
image147_png.rf.3888450809588f35cd1bba212b6fcfa7.jpg,1920,1200,Karo 3,912,393,1009,538
screenshot_card_2_1715788759_png_jpg.rf.386f88c3e7101a1fd0cad648f087c495.jpg,165,220,Piek 7,5,5,151,209


screenshot_card_3_1715787847_png_jpg.rf.482ca058dbe5437ee92258c8a2c83d08.jpg,165,220,Piek 6,0,5,146,208

image167_png.rf.4084a99b9de7541af790ee7fdc7cab75.jpg,1920,1200,Herz 8,914,395,1018,536
image167_png.rf.4084a99b9de7541af790ee7fdc7cab75.jpg,1920,1200,Piek 7,796,393,899,531
image167_png.rf.4084a99b9de7541af790ee7fdc7cab75.jpg,1920,1200,Kreuz 5,683,391,785,535
image46_png_jpg.rf.4528bb8f2bcadf48642e8087aea62920.jpg,1920,1200,Kreuz 10,683,394,785,535
image46_png_jpg.rf.4528bb8f2bcadf48642e8087aea62920.jpg,1920,1200,Kreuz 8,799,395,897,534
image46_png_jpg.rf.4528bb8f2bcadf48642e8087aea62920.jpg,1920,1200,Piek 9,909,395,1008,538
screenshot_card_2_1715788349_png_jpg.rf.47569210075b0f59fbc9fc41298f35ba.jpg,165,220,Herz 9,5,4,154,210

image15_png_jpg.rf.486c786b078ac41a150d38f4441b5790.jpg,1920,1200,Herz 7,694,393,793,534
